скважина;ствол;название_залежи;месяц;год;закачка_воды_технологическая_м3;приемистость_тех__расчетная;закачка_технологическая_с_начала_эксплуатации_м3;время_работы_с_начала_эксплуатации_сут
779;1;Турнейский пласт Т1;11;1986;587;20;2865;94
779;1;Турнейский пласт Т1;12;1986;660;21;3525;125
937;1;Тульский пласт Тл2а;1;1987;735;24;3798;203
937;1;Тульский пласт Тл2а;2;1987;566;20;4364;231
937;1;Тульский пласт Тл2а;3;1987;564;18;4928;262
937;1;Тульский пласт Тл2а;4;1987;261;9;5189;292
937;1;Тульский пласт Тл2а;5;1987;270;9;5459;323
937;1;Тульский пласт Тл2а;6;1987;548;18;6007;353
937;1;Тульский пласт Тл2а;7;1987;544;18;6551;384
937;1;Тульский пласт Тл2а;8;1987;592;19;7143;415
937;1;Тульский пласт Тл2а;9;1987;571;19;7714;445
937;1;Тульский пласт Тл2а;10;1987;659;21;8373;476
937;1;Тульский пласт Тл2а;11;1987;605;20;8978;506
937;1;Тульский пласт Тл2а;12;1987;636;21;9614;537
910;1;Тульский пласт Тл2а;1;1987;84;3;497;125
910;1;Тульский пласт Тл2а;2;1987;23;3;520;134
910;1;Тульский пласт Тл2а;3;1987;0;0;520;134
910;1;Тульский пласт Тл2а;4;1987;0;0;520;134
910;1;Тульский пласт Тл2а;5;1987;0;0;520;134
910;1;Тульский пласт Тл2а;6;1987;0;0;520;134
910;1;Тульский пласт Тл2а;7;1987;0;0;520;134
910;1;Тульский пласт Тл2а;8;1987;0;0;520;134
910;1;Тульский пласт Тл2а;9;1987;0;0;520;134
910;1;Тульский пласт Тл2а;10;1987;0;0;520;134
910;1;Тульский пласт Тл2а;11;1987;0;0;520;134
910;1;Тульский пласт Тл2а;12;1987;0;0;520;134
927;1;Тульский пласт Тл2а;1;1987;601;19;15134;156
927;1;Тульский пласт Тл2а;2;1987;730;26;15864;184
927;1;Тульский пласт Тл2а;3;1987;727;23;16591;215
927;1;Тульский пласт Тл2а;4;1987;337;11;16928;245
927;1;Тульский пласт Тл2а;5;1987;348;11;17276;276
927;1;Тульский пласт Тл2а;6;1987;707;24;17983;306
927;1;Тульский пласт Тл2а;7;1987;734;24;18717;337
927;1;Тульский пласт Тл2а;8;1987;799;26;19516;368
927;1;Тульский пласт Тл2а;9;1987;772;26;20288;398
927;1;Тульский пласт Тл2а;10;1987;890;29;21178;429
927;1;Тульский пласт Тл2а;11;1987;817;27;21995;459
927;1;Тульский пласт Тл2а;12;1987;859;28;22854;490
937;1;Тульский пласт Тл2б;1;1987;1176;38;6075;203
937;1;Тульский пласт Тл2б;2;1987;905;32;6980;231
937;1;Тульский пласт Тл2б;3;1987;902;29;7882;262
937;1;Тульский пласт Тл2б;4;1987;417;14;8299;292
937;1;Тульский пласт Тл2б;5;1987;431;14;8730;323
937;1;Тульский пласт Тл2б;6;1987;876;29;9606;353
937;1;Тульский пласт Тл2б;7;1987;870;28;10476;384
937;1;Тульский пласт Тл2б;8;1987;946;31;11422;415
937;1;Тульский пласт Тл2б;9;1987;914;30;12336;445
937;1;Тульский пласт Тл2б;10;1987;1055;34;13391;476
937;1;Тульский пласт Тл2б;11;1987;968;32;14359;506
937;1;Тульский пласт Тл2б;12;1987;1018;33;15377;537
910;1;Тульский пласт Тл2б;1;1987;100;3;595;125
910;1;Тульский пласт Тл2б;2;1987;27;3;622;134
910;1;Тульский пласт Тл2б;3;1987;0;0;622;134
910;1;Тульский пласт Тл2б;4;1987;0;0;622;134
910;1;Тульский пласт Тл2б;5;1987;0;0;622;134
910;1;Тульский пласт Тл2б;6;1987;0;0;622;134
910;1;Тульский пласт Тл2б;7;1987;0;0;622;134
910;1;Тульский пласт Тл2б;8;1987;0;0;622;134
910;1;Тульский пласт Тл2б;9;1987;0;0;622;134
910;1;Тульский пласт Тл2б;10;1987;0;0;622;134
910;1;Тульский пласт Тл2б;11;1987;0;0;622;134
910;1;Тульский пласт Тл2б;12;1987;0;0;622;134
927;1;Тульский пласт Тл2б;1;1987;802;26;1066;62
927;1;Тульский пласт Тл2б;2;1987;973;35;2039;90
927;1;Тульский пласт Тл2б;3;1987;970;31;3009;121
927;1;Тульский пласт Тл2б;4;1987;449;15;3458;151
927;1;Тульский пласт Тл2б;5;1987;464;15;3922;182
927;1;Тульский пласт Тл2б;6;1987;942;31;4864;212
927;1;Тульский пласт Тл2б;7;1987;979;32;5843;243
927;1;Тульский пласт Тл2б;8;1987;1065;34;6908;274
927;1;Тульский пласт Тл2б;9;1987;1029;34;7937;304
927;1;Тульский пласт Тл2б;10;1987;1187;38;9124;335
927;1;Тульский пласт Тл2б;11;1987;1090;36;10214;365
927;1;Тульский пласт Тл2б;12;1987;1145;37;11359;396
902;1;Тульский пласт Тл2б;1;1987;0;0;200;2
902;1;Тульский пласт Тл2б;2;1987;0;0;200;2
902;1;Тульский пласт Тл2б;3;1987;0;0;200;2
902;1;Тульский пласт Тл2б;4;1987;0;0;200;2
902;1;Тульский пласт Тл2б;5;1987;0;0;200;2
902;1;Тульский пласт Тл2б;6;1987;0;0;200;2
902;1;Тульский пласт Тл2б;7;1987;0;0;200;2
902;1;Тульский пласт Тл2б;8;1987;0;0;200;2
902;1;Тульский пласт Тл2б;9;1987;0;0;200;2
902;1;Тульский пласт Тл2б;10;1987;132;132;332;3
902;1;Тульский пласт Тл2б;11;1987;3782;126;4114;33
902;1;Тульский пласт Тл2б;12;1987;3974;128;8088;64
935;1;Бобриковский горизонт;1;1987;7757;431;49964;190
935;1;Бобриковский горизонт;2;1987;7353;263;57317;218
935;1;Бобриковский горизонт;3;1987;7329;236;64646;249
935;1;Бобриковский горизонт;4;1987;3391;113;68037;279
935;1;Бобриковский горизонт;5;1987;3504;113;71541;310
935;1;Бобриковский горизонт;6;1987;7121;237;78662;340
935;1;Бобриковский горизонт;7;1987;10870;351;89532;371
935;1;Бобриковский горизонт;8;1987;11830;382;101362;402
935;1;Бобриковский горизонт;9;1987;11428;381;112790;432
935;1;Бобриковский горизонт;10;1987;13186;425;125976;463
935;1;Бобриковский горизонт;11;1987;12104;403;138080;493
935;1;Бобриковский горизонт;12;1987;12719;410;150799;524
937;1;Бобриковский горизонт;1;1987;12788;413;66072;203
937;1;Бобриковский горизонт;2;1987;9842;352;75914;231
937;1;Бобриковский горизонт;3;1987;9810;316;85724;262
937;1;Бобриковский горизонт;4;1987;4539;151;90263;292
937;1;Бобриковский горизонт;5;1987;4690;151;94953;323
937;1;Бобриковский горизонт;6;1987;9532;318;104485;353
937;1;Бобриковский горизонт;7;1987;9456;305;113941;384
937;1;Бобриковский горизонт;8;1987;10292;332;124233;415
937;1;Бобриковский горизонт;9;1987;9943;331;134176;445
937;1;Бобриковский горизонт;10;1987;11472;370;145648;476
937;1;Бобриковский горизонт;11;1987;10531;351;156179;506
937;1;Бобриковский горизонт;12;1987;11065;357;167244;537
910;1;Бобриковский горизонт;1;1987;1486;48;8821;125
910;1;Бобриковский горизонт;2;1987;404;45;9225;134
910;1;Бобриковский горизонт;3;1987;0;0;9225;134
910;1;Бобриковский горизонт;4;1987;0;0;9225;134
